"Story","Title","Result","Date","Stability","Duration (s)"
": Abrir una pagina web","Validar ID CARD ELEMENTS","SUCCESS","2024-12-19T03:46:54.9502923-05:00[America/Bogota]","0.0","76.97"
"Abrir una pagina web","Validar ID CARD ELEMENTS","SUCCESS","2025-01-08T09:52:13.6169343-05:00[America/Bogota]","0.0","16.89"
